"eext__Created_on__c","eext__Last_login__c","eext__License__c","eext__Permission_set_licenses__c","eext__Profile__c","eext__Status__c","eext__Time_zone__c","eext__User_organization__r.eext__ExternalId__c","eext__X1_day_activity__c","eext__X1_day_login_count__c","eext__X1_month_activity__c","eext__X1_month_login_count__c","eext__X1_quarter_login_count__c","eext__X1_week_activity__c","eext__X1_week_login_count__c","eext__X2_week_activity__c","eext__X2_weeks_login_count__c","eext__X3_day_activity__c","eext__X3_day_login_count__c"
"2024-03-20","2024-05-06","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Asleep","","a0o7Q000007vgqfQAA","No activity","0","No activity","0","","No activity","0","No activity","0","No activity","0"
"2023-08-24","2024-08-02","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","Medium activity","10","","Low activity","3","Medium activity","9","No activity","0"
"2019-06-05","2024-07-06","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2022-11-17","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","46","","Medium activity","9","High activity","20","Low activity","2"
"2019-06-05","2024-07-27","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","No activity","0","Medium activity","10","","No activity","0","Low activity","2","No activity","0"
"2022-12-06","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Low activity","1","High activity","43","","Medium activity","10","High activity","23","Low activity","1"
"2019-06-05","2024-08-02","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","No activity","0","Medium activity","14","","Low activity","2","Low activity","6","No activity","0"
"2024-02-06","2024-08-06","Salesforce","","ARCE Sanction","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","52","","High activity","14","High activity","24","Medium activity","4"
"2019-06-05","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Low activity","1","High activity","30","","Medium activity","8","Medium activity","16","Low activity","1"
"2022-09-02","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","34","","Medium activity","6","Medium activity","16","Low activity","2"
"2022-11-17","2024-08-06","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","3","High activity","38","","Medium activity","8","High activity","18","Medium activity","3"
"2022-11-17","2024-08-05","Salesforce","","Especialista","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","28","","Medium activity","9","Medium activity","15","Low activity","2"
"2023-11-22","2024-05-02","Salesforce","","ARCE Sanction","Asleep","","a0o7Q000007vh0BQAQ","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2023-09-21","","Salesforce","","ARCE Sanction","Never logged in","","a0o7Q000007vh0BQAQ","","","","","","","","","","",""
"2024-03-27","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Low activity","1","High activity","33","","Medium activity","7","Medium activity","13","Low activity","1"
"2021-10-06","2024-08-06","Salesforce","","Especialista","Active","","a0o7Q000007vh0BQAQ","High activity","5","High activity","49","","High activity","13","High activity","23","Medium activity","5"
"2022-09-19","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Low activity","1","High activity","33","","Medium activity","8","Medium activity","16","Low activity","1"
"2022-10-10","2024-08-01","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","No activity","0","High activity","23","","Medium activity","5","Medium activity","12","No activity","0"
"2022-11-17","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Low activity","1","High activity","39","","Medium activity","8","Medium activity","15","Low activity","1"
"2023-11-07","2024-08-05","Salesforce","","Especialista","Active","","a0o7Q000007vh0BQAQ","Low activity","1","Medium activity","14","","Medium activity","5","Medium activity","9","Low activity","1"
"2019-06-05","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Low activity","1","High activity","39","","Medium activity","9","High activity","21","Low activity","1"
"2019-06-05","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","45","","Medium activity","8","High activity","21","Low activity","2"
"2023-02-06","2024-08-06","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","41","","High activity","12","High activity","21","Low activity","2"
"2022-12-09","2024-08-05","Salesforce","","Especialista","Active","","a0o7Q000007vh0BQAQ","Low activity","1","Medium activity","17","","Medium activity","7","Medium activity","11","Low activity","1"
"2023-10-17","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Low activity","1","Medium activity","19","","Medium activity","5","Medium activity","8","Low activity","1"
"2024-03-26","","Salesforce","","Gerente","Never logged in","","a0o7Q000007vh0BQAQ","","","","","","","","","","",""
"2022-11-17","2024-05-14","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2022-11-17","2024-08-06","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","High activity","7","High activity","65","","High activity","17","High activity","37","High activity","7"
"2023-03-09","2024-04-26","Salesforce","","Analista","Asleep","","a0o7Q000007vh0BQAQ","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2022-11-17","2024-08-06","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","35","","Medium activity","10","High activity","22","Medium activity","4"
"2022-11-17","2024-08-05","Salesforce","","Especialista","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","49","","High activity","11","High activity","19","Low activity","2"
"2023-11-17","2024-08-05","Salesforce","","ARCE Sanction","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","36","","Medium activity","9","Medium activity","16","Low activity","2"
"2022-11-17","2024-08-01","Salesforce","","Especialista","Active","","a0o7Q000007vh0BQAQ","No activity","0","Low activity","9","","Low activity","2","Low activity","4","No activity","0"
"2022-11-17","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","26","","Medium activity","8","Medium activity","11","Low activity","2"
"2019-06-05","2024-07-31","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","No activity","0","Low activity","8","","Low activity","2","Low activity","2","No activity","0"
"2022-12-05","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Low activity","1","Low activity","4","","Low activity","4","Low activity","4","Low activity","1"
"2022-08-25","2024-06-27","Salesforce","","Especialista","Active","","a0o7Q000007vh0BQAQ","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2024-06-12","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Low activity","1","High activity","33","","Medium activity","9","High activity","17","Low activity","1"
"2023-11-22","2024-08-05","Salesforce","","ARCE Sanction","Active","","a0o7Q000007vh0BQAQ","Medium activity","3","Medium activity","18","","Medium activity","7","Medium activity","15","Medium activity","3"
"2021-10-05","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Low activity","1","High activity","33","","Medium activity","5","Medium activity","11","Low activity","1"
"2022-04-04","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","41","","Medium activity","10","High activity","22","Low activity","2"
"2022-11-17","2024-05-07","Salesforce","","Gerente","Asleep","","a0o7Q000007vh0BQAQ","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2024-06-04","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","3","High activity","40","","High activity","13","High activity","25","Medium activity","3"
"2022-11-17","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Low activity","1","High activity","35","","Low activity","4","Medium activity","15","Low activity","1"
"2019-06-05","2024-08-02","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","No activity","0","Medium activity","13","","Low activity","2","Medium activity","8","No activity","0"
"2022-01-21","2024-08-06","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","Low activity","2","","Low activity","2","Low activity","2","Low activity","2"
"2024-07-18","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","Medium activity","16","","Medium activity","6","Medium activity","15","Low activity","2"
"2022-11-17","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Low activity","1","High activity","43","","Medium activity","9","High activity","21","Low activity","1"
"2019-06-05","2024-08-05","Salesforce","","ARCE Sanction","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","Medium activity","18","","Medium activity","6","Medium activity","9","Low activity","2"
"2024-05-31","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","46","","Medium activity","9","High activity","20","Low activity","2"
"2022-11-17","2024-08-05","Salesforce","","Especialista","Active","","a0o7Q000007vh0BQAQ","Low activity","1","High activity","25","","Medium activity","5","Medium activity","12","Low activity","1"
"2020-10-20","2024-06-27","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2024-01-23","2024-08-02","Salesforce","","Especialista","Active","","a0o7Q000007vh0BQAQ","No activity","0","Low activity","3","","Low activity","2","Low activity","2","No activity","0"
"2023-09-14","2024-07-12","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","No activity","0","Low activity","8","","No activity","0","No activity","0","No activity","0"
"2024-08-01","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Low activity","1","Low activity","5","","Medium activity","5","Low activity","5","Low activity","2"
"2023-05-18","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Low activity","1","High activity","39","","Medium activity","8","High activity","19","Low activity","1"
"2019-06-05","2024-07-26","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","No activity","0","Low activity","7","","No activity","0","Low activity","3","No activity","0"
"2022-06-13","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","3","High activity","39","","Medium activity","8","High activity","18","Medium activity","3"
"2023-10-31","2024-08-05","Salesforce","","Especialista","Active","","a0o7Q000007vh0BQAQ","Low activity","1","High activity","29","","Low activity","4","Medium activity","13","Low activity","1"
"2022-11-17","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","30","","Medium activity","8","Medium activity","14","Low activity","2"
"2019-06-05","2024-07-30","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","No activity","0","Medium activity","14","","Low activity","1","Low activity","2","No activity","0"
"2019-06-05","2024-08-02","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","No activity","0","Medium activity","13","","Low activity","2","Medium activity","10","No activity","0"
"2023-11-20","","Salesforce","","ARCE Sanction","Never logged in","","a0o7Q000007vh0BQAQ","","","","","","","","","","",""
"2023-08-30","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Low activity","1","Medium activity","16","","Medium activity","6","Medium activity","8","Low activity","1"
"2019-06-05","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Low activity","1","Low activity","8","","Low activity","2","Low activity","3","Low activity","1"
"2022-11-17","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","39","","Medium activity","6","Medium activity","15","Low activity","2"
"2019-06-05","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","31","","High activity","11","High activity","17","Low activity","2"
"2021-10-05","2024-07-25","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","No activity","0","Low activity","3","","No activity","0","Low activity","1","No activity","0"
"2022-11-17","2024-08-05","Salesforce","","Especialista","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","44","","High activity","14","High activity","28","Low activity","2"
"2019-06-05","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","Low activity","7","","Low activity","4","Low activity","5","Low activity","2"
"2019-06-05","2024-08-05","Salesforce","","ARCE Sanction","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","44","","High activity","12","High activity","27","Low activity","2"
"2023-10-17","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","39","","Medium activity","9","High activity","19","Low activity","2"
"2022-11-17","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","36","","Medium activity","7","Medium activity","14","Low activity","2"
"2022-11-17","2024-08-05","Salesforce","","Especialista","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","38","","Medium activity","9","High activity","19","Low activity","2"
"2019-06-05","2024-08-05","Salesforce","","ARCE Sanction","Active","","a0o7Q000007vh0BQAQ","Low activity","1","High activity","36","","Medium activity","9","High activity","18","Low activity","1"
"2019-06-05","2024-08-06","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","32","","Medium activity","10","High activity","19","Low activity","2"
"2022-11-17","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","36","","Medium activity","7","High activity","17","Low activity","2"
"2019-05-09","2024-08-06","Salesforce","","Administrador del sistema","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","575","","High activity","133","High activity","274","High activity","17"
"2023-02-10","2024-08-01","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","No activity","0","Medium activity","14","","Low activity","2","Low activity","6","No activity","0"
"2019-06-05","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","42","","High activity","11","High activity","20","Low activity","2"
"2022-11-17","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","3","High activity","66","","High activity","12","High activity","25","Medium activity","3"
"2022-10-27","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","37","","Medium activity","10","High activity","17","Low activity","2"
"2024-04-05","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","Low activity","8","","Low activity","2","Low activity","4","Low activity","2"
"2019-06-05","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","3","High activity","51","","High activity","13","High activity","21","Medium activity","3"
"2023-11-20","","Salesforce","","ARCE Sanction","Never logged in","","a0o7Q000007vh0BQAQ","","","","","","","","","","",""
"2021-10-04","2024-08-02","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","No activity","0","High activity","26","","Low activity","4","Medium activity","11","No activity","0"
"2019-06-05","2024-08-01","Salesforce","","Especialista","Active","","a0o7Q000007vh0BQAQ","No activity","0","Medium activity","17","","Low activity","1","Medium activity","7","No activity","0"
"2019-06-07","","","","","Never logged in","","a0o7Q000007vh0BQAQ","","","","","","","","","","",""
"2023-10-19","","","","","Never logged in","","a0o7Q000007vh0BQAQ","","","","","","","","","","",""
"2018-10-30","","","","","Never logged in","","a0o7Q000007vh0BQAQ","","","","","","","","","","",""
"2019-06-05","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Low activity","1","High activity","24","","Medium activity","6","Medium activity","13","Low activity","1"
"2019-06-05","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","42","","Medium activity","10","High activity","20","Low activity","2"
"2022-11-17","2024-06-29","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2019-11-01","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","38","","Medium activity","9","High activity","17","Low activity","2"
"2019-06-05","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Low activity","1","High activity","43","","Medium activity","7","High activity","23","Low activity","1"
"2023-11-17","2024-08-05","Salesforce","","ARCE Sanction","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","38","","Medium activity","8","High activity","18","Low activity","2"
"2022-02-09","2024-08-05","Salesforce","","Especialista","Active","","a0o7Q000007vh0BQAQ","Low activity","1","High activity","30","","High activity","11","High activity","17","Low activity","1"
"2023-11-17","2024-08-06","Salesforce","","ARCE Sanction","Active","","a0o7Q000007vh0BQAQ","Medium activity","3","High activity","42","","High activity","12","High activity","21","Medium activity","3"
"2024-02-09","2024-08-01","Salesforce","","Admin Usuarios","Active","","a0o7Q000007vh0BQAQ","No activity","0","Medium activity","10","","Low activity","1","Low activity","6","No activity","0"
"2022-11-24","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","40","","Medium activity","10","High activity","20","Low activity","2"
"2023-04-05","2024-08-02","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","No activity","0","High activity","50","","High activity","11","High activity","23","No activity","0"
"2019-06-05","2024-08-06","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","3","High activity","23","","Medium activity","8","High activity","18","Medium activity","3"
"2019-06-05","2024-07-31","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","No activity","0","Low activity","8","","Low activity","1","Low activity","1","No activity","0"
"2019-06-05","2024-07-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2019-06-05","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","38","","Medium activity","7","High activity","17","Low activity","2"
"2022-08-19","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Low activity","1","High activity","36","","Medium activity","8","Medium activity","16","Low activity","1"
"2023-11-20","","Salesforce","","ARCE Sanction","Never logged in","","a0o7Q000007vh0BQAQ","","","","","","","","","","",""
"2019-06-05","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Low activity","1","Low activity","4","","Low activity","3","Low activity","4","Low activity","1"
"2019-06-05","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","Low activity","7","","Medium activity","7","Medium activity","7","Low activity","2"
"2022-02-14","2024-08-05","Salesforce","","Especialista","Active","","a0o7Q000007vh0BQAQ","Medium activity","3","High activity","39","","Medium activity","9","High activity","20","Medium activity","3"
"2023-02-01","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","3","High activity","47","","High activity","11","High activity","22","Medium activity","3"
"2023-11-20","","Salesforce","","ARCE Sanction","Never logged in","","a0o7Q000007vh0BQAQ","","","","","","","","","","",""
"2023-06-06","2024-07-10","Salesforce","","Especialista","Active","","a0o7Q000007vh0BQAQ","No activity","0","Low activity","1","","No activity","0","No activity","0","No activity","0"
"2022-11-17","2024-08-02","Salesforce","","Especialista","Active","","a0o7Q000007vh0BQAQ","No activity","0","Medium activity","10","","Low activity","3","Low activity","6","No activity","0"
"2023-03-16","2024-07-29","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","No activity","0","Medium activity","18","","No activity","0","Medium activity","8","No activity","0"
"2019-06-05","2024-07-24","Salesforce","","Especialista","Active","","a0o7Q000007vh0BQAQ","No activity","0","Medium activity","10","","No activity","0","Low activity","3","No activity","0"
"2022-11-17","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","No activity","0","Low activity","4","","Low activity","3","Low activity","4","Low activity","1"
"2021-11-25","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Low activity","1","High activity","35","","Low activity","4","Medium activity","15","Low activity","1"
"2024-05-31","2024-08-01","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","No activity","0","Medium activity","16","","Low activity","4","Medium activity","9","No activity","0"
"2024-02-26","2024-05-09","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2020-08-08","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Low activity","1","Medium activity","17","","Low activity","3","Medium activity","8","Low activity","1"
"2022-11-17","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Low activity","1","Medium activity","14","","Low activity","3","Medium activity","7","Low activity","1"
"2019-06-05","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","Low activity","7","","Low activity","3","Medium activity","7","Low activity","2"
"2023-11-22","","Salesforce","","ARCE Sanction","Never logged in","","a0o7Q000007vh0BQAQ","","","","","","","","","","",""
"2022-10-11","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","44","","Medium activity","8","High activity","19","Low activity","2"
"2022-07-13","2024-07-22","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","No activity","0","Medium activity","18","","No activity","0","No activity","0","No activity","0"
"2022-11-17","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Low activity","1","High activity","39","","Medium activity","9","Medium activity","15","Low activity","1"
"2024-02-15","2024-06-26","Salesforce","","ARCE Sanction","Active","","a0o7Q000007vh0BQAQ","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2023-05-15","2024-06-14","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2022-11-17","2024-08-06","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","High activity","5","High activity","77","","High activity","18","High activity","37","Medium activity","5"
"2022-11-17","2024-08-05","Salesforce","","Especialista","Active","","a0o7Q000007vh0BQAQ","Low activity","1","Low activity","4","","Low activity","4","Low activity","4","Low activity","1"
"2019-06-05","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","55","","High activity","11","High activity","22","Low activity","2"
"2019-06-05","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","39","","Medium activity","10","Medium activity","16","Low activity","2"
"2023-11-22","2024-06-21","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2019-06-05","2024-06-28","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2022-11-17","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","37","","High activity","11","High activity","20","Low activity","2"
"2023-09-19","2024-07-30","Salesforce","","Especialista","Active","","a0o7Q000007vh0BQAQ","No activity","0","Low activity","7","","Low activity","1","Low activity","5","No activity","0"
"2023-02-15","2024-08-06","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","3","High activity","53","","High activity","12","High activity","22","Medium activity","4"
"2019-06-05","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Low activity","1","High activity","36","","Medium activity","10","High activity","19","Medium activity","3"
"2022-11-17","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","38","","Medium activity","9","High activity","22","Low activity","2"
"2019-06-05","2024-05-06","Salesforce","","Gerente","Asleep","","a0o7Q000007vh0BQAQ","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2019-06-05","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Low activity","1","High activity","29","","Medium activity","6","Medium activity","15","Low activity","2"
"2019-06-05","2024-08-05","Salesforce","","ARCE Sanction","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","32","","Medium activity","9","Medium activity","16","Low activity","2"
"2019-06-05","2024-08-06","Salesforce","","ARCE Sanction","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","37","","Medium activity","9","High activity","18","Low activity","2"
"2019-06-05","2024-07-23","Salesforce","","Operativo","Active","","a0o7Q000007vh0BQAQ","No activity","0","Low activity","2","","No activity","0","Low activity","1","No activity","0"
"2022-11-17","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Low activity","1","High activity","45","","Medium activity","8","High activity","20","Low activity","1"
"2021-09-02","2024-08-02","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","No activity","0","High activity","47","","Medium activity","8","High activity","19","No activity","0"
"2019-06-05","2024-08-02","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","No activity","0","High activity","38","","Medium activity","8","High activity","17","No activity","0"
"2024-02-06","2024-04-23","Salesforce","","ARCE Sanction","Asleep","","a0o7Q000007vh0BQAQ","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2023-03-16","2024-08-06","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","3","Medium activity","21","","High activity","12","High activity","21","Medium activity","3"
"2024-05-30","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","24","","Medium activity","7","Medium activity","12","Low activity","2"
"2022-11-17","2024-07-31","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","No activity","0","High activity","36","","Medium activity","6","Medium activity","15","No activity","0"
"2019-06-05","2024-05-03","Salesforce","","Gerente","Asleep","","a0o7Q000007vh0BQAQ","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2022-11-17","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Low activity","1","High activity","31","","Medium activity","8","High activity","17","Low activity","1"
"2021-09-16","2024-08-01","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","No activity","0","Low activity","8","","Low activity","1","Low activity","3","No activity","0"
"2022-11-17","2024-07-30","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","No activity","0","High activity","31","","Low activity","2","Medium activity","9","No activity","0"
"2022-11-17","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","35","","Medium activity","9","High activity","19","Low activity","2"
"2019-06-15","","","","","Never logged in","","a0o7Q000007vh0BQAQ","","","","","","","","","","",""
"2024-06-12","2024-08-01","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","No activity","0","Low activity","4","","Low activity","3","Low activity","3","No activity","0"
"2022-11-17","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Low activity","1","High activity","32","","Medium activity","8","Medium activity","15","Low activity","1"
"2020-01-13","2024-08-05","Salesforce","","Administrador del sistema","Active","","a0o7Q000007vh0BQAQ","Low activity","1","High activity","56","","Medium activity","9","High activity","19","Low activity","2"
"2022-12-28","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","3","High activity","26","","Medium activity","7","Medium activity","12","Medium activity","3"
"2022-11-17","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","3","High activity","41","","High activity","12","High activity","23","Medium activity","3"
"2022-11-17","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Medium activity","2","High activity","37","","Medium activity","7","Medium activity","14","Low activity","2"
"2019-06-05","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Low activity","1","High activity","29","","Low activity","4","Medium activity","12","Low activity","1"
"2022-11-17","2024-08-05","Salesforce","","Gerente","Active","","a0o7Q000007vh0BQAQ","Low activity","1","High activity","47","","High activity","12","High activity","22","Low activity","1"
